0.000	7.430	10.000	6.000	4.814	7.412	10.000	6.000	4.822	75.614	128.127	121.198	6.353	1.694	1.603	5.408	75.547	109.284	699.743	91.401	121.345	116.652	132.875	133.654	36.331	39.802	61.246	78.902	56.911	17.459	98.816	74.527	84.029	79.642	8.382	9.796	8.241	9.551	12.897	13.183	16.266	18.758	0.711	7.042	1.600	0.072	1.575	4.857	3.607	3.089	1.786	1.784	15.000	15.000	24.000	24.000	117.644	117.421	43.800	43.800	2.290	2.270	19.500	19.689
1.010	7.805	10.000	6.000	4.651	7.791	10.000	6.000	4.657	76.579	128.454	120.252	7.407	1.677	1.570	6.385	103.998	70.733	112.476	102.556	70.727	80.560	58.803	108.457	33.629	45.582	61.312	72.944	66.159	43.031	76.605	23.883	102.333	175.873	7.345	7.912	8.233	11.081	7.634	8.185	13.603	14.563	2.012	2.092	0.041	1.863	3.266	3.004	1.068	1.401	1.680	1.681	14.000	14.000	22.000	22.000	119.831	119.712	41.000	41.000	2.121	2.132	19.000	19.000
2.020	8.208	10.000	6.000	4.481	8.192	10.000	6.000	4.488	74.534	124.988	121.128	2.418	1.677	1.625	3.089	94.750	92.317	434.340	115.710	62.293	69.948	122.557	122.360	32.978	35.639	59.412	66.851	67.161	20.884	43.488	98.658	76.761	41.688	13.138	16.023	12.822	13.836	8.625	9.593	20.514	17.501	0.994	18.035	0.868	2.356	0.584	11.015	0.280	7.045	1.927	1.913	15.000	15.000	25.391	25.191	125.868	125.595	45.244	44.863	2.272	2.258	20.000	20.000
3.030	8.590	10.000	6.000	4.330	8.574	10.000	6.000	4.336	77.270	135.374	121.102	10.847	1.752	1.567	10.543	86.988	118.240	397.112	105.165	73.006	83.041	119.000	131.266	37.059	40.989	61.328	74.235	75.518	26.030	116.245	68.439	95.589	147.823	13.033	14.075	16.688	17.362	8.647	9.241	5.897	6.326	0.529	22.080	0.547	0.678	0.768	14.992	5.713	11.798	2.108	2.099	15.997	15.916	27.998	27.951	131.998	131.942	49.898	49.836	2.368	2.354	21.032	21.204
4.040	8.918	10.000	6.000	4.214	8.902	10.000	6.000	4.219	76.775	133.670	119.577	10.186	1.741	1.557	10.543	73.113	74.569	193.623	104.251	105.493	108.897	88.858	116.914	51.177	45.665	61.271	78.776	70.922	20.598	56.844	64.244	53.241	56.811	9.811	11.328	9.105	14.938	9.225	10.161	16.988	18.162	1.120	2.716	1.396	0.626	6.504	0.836	1.947	1.941	2.245	2.228	16.055	16.000	29.226	28.977	135.284	134.965	50.848	50.461	2.608	2.610	19.110	19.001
5.051	9.279	10.000	6.000	4.106	9.268	10.000	6.000	4.109	73.126	115.039	118.103	-6.081	1.573	1.615	-2.663	199.343	85.402	313.196	168.709	92.247	93.591	126.634	163.147	57.848	56.198	59.519	72.112	91.452	27.525	226.678	40.594	44.776	84.124	11.792	15.153	12.110	20.889	17.699	18.026	7.706	8.689	2.129	0.719	4.580	7.780	0.205	7.285	2.278	14.075	2.385	2.392	17.000	17.000	32.000	32.000	139.771	139.621	52.219	52.375	2.436	2.421	21.203	21.463
6.061	9.576	10.000	6.000	4.040	9.563	10.000	6.000	4.043	77.320	129.083	119.420	7.884	1.669	1.544	7.486	136.113	183.835	1224.382	111.193	131.897	130.756	81.210	90.375	26.920	31.434	59.987	67.703	80.870	20.880	216.012	149.667	81.612	79.118	17.603	18.128	29.082	27.231	11.948	12.650	9.263	9.969	0.338	1.167	1.228	2.395	0.382	2.566	2.934	0.160	2.589	2.575	18.000	18.000	33.986	33.817	141.999	141.931	57.267	56.842	2.818	2.795	20.000	20.000
7.071	9.891	10.000	6.000	4.003	9.877	10.000	6.000	4.004	76.287	127.503	118.202	6.344	1.671	1.549	7.295	163.461	137.417	447.377	90.743	79.857	93.047	112.091	121.803	30.300	32.653	60.276	71.825	66.327	28.931	212.944	205.172	112.308	77.437	13.526	14.062	8.708	9.395	12.093	12.536	7.829	8.453	13.354	4.806	2.049	7.139	7.320	0.317	1.532	2.877	2.535	2.539	18.000	18.000	34.000	34.000	142.580	142.342	57.778	58.024	2.834	2.882	20.580	20.342
8.081	10.185	10.000	6.000	4.000	10.172	10.000	6.000	4.000	78.380	134.167	117.717	13.056	1.712	1.502	12.261	153.164	117.599	535.793	103.479	94.048	108.971	109.116	123.954	37.261	47.384	59.477	72.961	86.896	25.968	167.562	124.466	46.465	94.197	20.681	21.793	13.608	14.197	22.551	23.135	11.515	12.670	0.014	13.185	5.920	0.502	0.581	8.303	0.055	0.634	2.788	2.770	19.082	18.913	37.115	36.841	144.077	143.913	64.127	63.423	2.939	2.938	22.077	21.919
9.091	10.437	10.000	6.000	4.000	10.424	10.000	6.000	4.000	78.278	141.321	117.604	15.441	1.805	1.502	16.782	240.674	163.802	428.321	99.496	73.130	86.536	91.595	110.424	59.932	59.843	56.602	65.474	62.405	33.639	379.964	139.070	297.140	51.713	10.235	11.068	13.544	14.408	11.224	11.767	9.952	11.207	0.156	6.597	1.489	1.315	1.502	2.890	1.809	6.188	2.730	2.730	18.805	18.994	36.000	36.000	147.000	147.000	66.604	66.600	2.830	2.830	24.000	24.000
